IDScheda	IndirizzoWeb
0000250e5e5b4bb5896c47b057c74b58	https://cera-una-volta-como.business.site
00025d0079f04abf9c6bec53df817425	http://www.hotelhaberl.com
00066b9b79a6450eb08f1bcfb64ccd3a	https://www.oldwildwest.it
00070614076d47bb8946f7e0b7ec07fe	https://poke-house.com
00085693aa6149cb9b2a9ef42bb2d497	http://www.catobruschetteria.it
000dbc8c9af648c2b43c727adeb9fc16	http://www.fiasconaro.com
000e584da94d4dbb99254dc0d97efc7d	https://www.piratapescara.it
00100a1c3a9e48fd880823e913b6ee50	https://kungfurestaurant.it
001060e410b94f949469b032bb6f7ed1	https://hotelristorantesaverino.it
00128e6d17b544ff8ba92b6da87c0d6d	http://allegrottediares.altervista.org
001361e03e404ac5a5e6e9fa195b7c60	http://www.mulinpejo.it
00161e65fe5e4106878a5aae9fe8b5e1	http://www.pasticceriaifruttirossi.com
001842754fd2469287484a5d231235a2	https://www.rifugiogenova.it
001a63e0a1f64791bc16d2cfba7f7860	http://www.osteriadeltirasciopp.it
001ab86fe8a64c24a85cf45ef82060ad	http://www.sapesta.it
001b504668514d0ba938d96798a657b3	https://www.lanicchianelsasso.it
001d15f861fd43498198b6d0b8f30ab1	https://www.liftstueberl.com
001d8c0ebd0f4824b01fc09ef31ae927	https://www.labraceriapubmarano.com
001f40984d9e48b682246046968f044a	https://www.youmarina.it
00248c7f185042039b55a2e3b8715926	http://www.lafontanina.com
0026b5f160fc4c94871c705774618fee	https://latanadelluppolo.eatbu.com
00276cb362ae4b8ab57e495cf084a1e9	https://www.laciosa.it
002c73150f104751bda6868b80e5de50	https://www.anticogrottino.it
002ce12722bb46ddb1ea0db1802c5179	https://www.foodmeroandmore.com
002d15d683214778882c63b3a4046da8	http://www.locandafontanabuona.it
002dc5583bd947bf87a9db9e8146053f	https://www.ilmantovadellago.it
002eb9a693ee43e6939d74e35a9f64df	http://forneln5.com
002f87ae725d422db1bbe1b875aa3d1d	https://www.lagrigliaverona.it
0031831038164e0eb592c3c1fa79ad92	https://www.dolcegustoristorantepizzeria.com
00345be633744d2fafe6b58d73a6188a	http://www.laesquina.it
0036feb781bf45f0b23110fa0492790f	http://www.waalrast.com
0037da4d75034a888ee4ddd48671b1df	https://italy.100montaditos.com
0038167cff994ecab62e20c037795a41	https://www.tecastore.com
00382ca3c2264d9d995cbad6f83d294d	http://www.trattoriapraetoria.it
003bc342c69b42c297694c826ee261a7	http://www.novecentodue.it
003c8371da12435580b7376d02e99e9d	https://www.mcdonalds.it
00425769f0a242b99e034c20771a32ae	https://www.bigatticarni.it
00426fd60ea8463e98c08a26cf5734d8	https://sites.google.com
004375bc29fa4cc6b8ab3e4a9edcc470	https://www.la-caveja.it
0045126b00b34b2db5b89fe9b60cb578	http://lnx.hotelholidaybolsena.it
0046ed43ca9540d6a8d0714377326d92	https://www.pimentofood.com
00483b9f491e4eedbdf818da4c3ed5b2	https://petit-du-senegal.business.site
00485cccc1f949b29921efe6dc94ddde	https://www.mas-ci.it
004864321a9544b680a06852c75c8a9e	https://casacharleston.net
004b234ef060418da3f6d201c95a7ba4	http://pizzeriatranquilli.it
004d11b0f0154ef686acb583de1667c7	https://www.lecicalegenova.it
004d5a2152c04692b1ca21eb7bacd2b4	https://www.paneecaffepalermo.it
004d5b8962bb404d8424081fff9b53a2	https://mihosushi.it
00540e447cec46cc8bdf3b836e366aaa	http://www.agriturismopenisolasorrentina.it
0054c482d8814a6a8e33a20ef63c9e8b	http://www.ilmulinodibibano.it
005614f9669d46a59ecaf9e344295256	https://www.ristorantejolly.top
005621570983475d979c8b19b7196877	https://www.ristorantemichelin1855.it
0058d067c9614adf9b21c909441d15ee	https://www.agriturismobelpoggio.it
005911b51cf24a7c9a38762c7845081d	http://www.baitock.it
00599d9094cd4fa0a3e4701f1ca6dd7e	https://www.lapiccolataverna.it
0059a8cd77694162b059eed21b627595	http://www.vincenzofalconedelicious.it
