IDScheda	IndirizzoWeb
a000250e5e5b4bb5896c47b057c74b58	https://www.exetera.com/it-it/home
a0025d0079f04abf9c6bec53df817425	http://127.0.0.1
a3489a61befd4fb8b57dad6930fb608d	http://127.0.0.1
a33c71ad6b824069b315f7f23eba639e	http://127.0.0.1
a3270538701249c0adb04d312bb70f6f	http://127.0.0.1
b3229a31b17b4d7398c8ff39dd8d5680	http://127.0.0.1
b319c1ba7b654f03b913d08e1c937433	http://127.0.0.1
b317804ae7004dda91e32a034c0ea52b	http://127.0.0.1
b315aa7c275547099c6480a7ddc392f0	http://127.0.0.1
b311509a319b4283b385f97d8ef3cbda	http://127.0.0.1
c30f369fbf58424f85c476c867c01f83	http://127.0.0.1
c30b0e60a63a4a79ad6f9b4ec2e8e9fd	http://127.0.0.1
c30519c3812d4cc097af7a58c0bc0479	http://127.0.0.1
c300a9e0b61e4f1facad19015b779515	http://127.0.0.1
c2fde202850347d89187f7ac03551419	http://127.0.0.1
d2f6b3dd558a46f8b3c312009e46658d	http://127.0.0.1
d2eebd8521ae428daabea754d46b8fbb	http://127.0.0.1
d2ef631bfb0741559c24b6bbcabf2429	http://127.0.0.1
d2b60b894dbf4368ba1ff75c2744f45e	http://127.0.0.1
d2b2bb3bb99d476b9a81305f94f3c1e2	http://127.0.0.1
e2acf15b1c8d4fb0a22de99a9c8b6e14	http://127.0.0.1
e2778db5b3f74244a60ba8c5ef03eb56	http://127.0.0.1
e2666700316848d7a4517a1d510bfc51	http://127.0.0.1
ee50d044a27b404c830dbe86a1e72af5	http://127.0.0.1
ed446633f69e4052abb72532a31d650a	http://127.0.0.1
